ACRONYM,DEFINITION
 WPADP,ISBT Working Party on Automation and Data Processing
(b)(4),"Freedom of Information Act Exemption 4, which protects from disclosure “trade secrets and commercial or financial information obtained from a person [that is] privileged or confidential.” (5 U.S.C. 552(b)(4))"
[NA]TAG,[North American] Technical Advisory Group
§,section – shorthand symbol used to designate a section in a legal document; as in §201(m) of the FD&C Act.
§§,"sections – shorthand symbol used to designate sections in a legal document; as in §§201(m), 301(k) of the FD&C Act."
1932,"FDA form for veterinary adverse drug reaction, lack of effectiveness, product defect report--mandatory"
1932a,"FDA form for veterinary adverse drug reaction, lack of effectiveness, product defect report--voluntary"
2301,FDA form for transmittal of periodic reports and promotional material for new animal drugs
348,FDA form for sponsored travel
3500,FDA form for voluntary reporting of adverse events
3500A,FDA form for mandatory reporting of adverse events
356V,FDA form for new animal drug appication
3Rs,recruitment and relocation bonuses and retention allowances
406B,Section of the FDA Modernization Act dealing with getting feedback from our stakeholders
482,FDA form for notice of inspection
483,FDA form used as a written notice of deficiencies found in inspections
505(b)(2),A new drug application that contains full reports of investigations of safety and effectiveness but where at least some of the information required for approval comes from studies not conducted by or for the applicant and for which the applicant has not obtained a right of reference.
510(k),"section of the Food, Drug, and Cosmetic Act that deals with premarket notification"
A-V,arteriovenous
A-VO2,arteriovenous oxygen
A/L,annual leave
A2LA,American Association for Laboratory Accreditation
AAA,abdominal aortic aneurysm
AAALAC,Association for Assessment and Accreditation of Laboratory Animal Care International
AAAP,American Association of Avian Pathologists
AAAS,American Association for the Advancement of Science
AABB,American Association of Blood Banks
AABP,American Association of Bovine Practitioners
AACR,American Association for Cancer Research
AADA,abbreviated antibiotic drug application
AAEP,American Association of Equine Practitioners
AAFCO,Association of American Feed Control Officials
AAFP,American Academy of Family Physicians
AAHA,American Animal Hospital Association
AAI,American Association of Immunologists
AALAS,American Association for Laboratory Animal Science
AAMI,American Association for Medical Instrumentation
AANN,American Association of Neurosciences Nurses
AANS,American Association of Neurological Surgeons
AAO,American Academy of Ophthalmology
AAP,American Academy of Pediatrics
AAP,American Academy of Peridontology
AAPHP,American Association of Public Health Physicians
AAPM,American Association of Physicists in Medicine
AAPS,American Association of Pharmaceutical Scientists
AAR,after action review
AARP,American Association of Retired Persons
AAS,acute abdominal series
AASP,American Association of Swine Practitioners
AASRP,American Association of Small Ruminant Practitioners
AATB,American Association of Tissue Banks
AAVLD,American Association of Veterinary Laboratory Diagnosticians
AAVMC,Association of American Veterinary Medical Colleges
AAVPT,American Academy of Veterinary Pharmacology and Therapeutics
AB (CDRH),Analysis Branch (CDRH)
ABC,America’s Blood Centers
ABC,American Blood Commission
ABE,adverse biologic experience
ABG,arterial blood gas
ABI,Automated Broker Interface (U.S. Customs)
Abifarma,Brazilian Association of the Pharmaceutical Industry
ABM,application briefing meeting
ABPI,Association of the British Pharmaceutical Industry
ABRA,American Blood Resource Association
AC,Advisory Committee
ACB (CDRH),Accreditation and Certification Branch (CDRH)
ACBSA,Advisory Committee on Blood Safety and Availability (HHS)
ACC,RCHSA (Radiation Control for Health and Safety Act) accession number (ORA AofC code)
ACCME,Accreditation Council for Continuing Medical Education
ACCP,American College of Clinical Pharmacology
ACE,adverse clinical event
ACE,angiotensin-converting enzyme
ACE,Association of Clinical Embryologists
